FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,OPP_PLUS_MINUS
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0.421,0.3328,0.8318,4.8,0.3776,0.2886,0.7626000000000001,-4.8
0.4086,0.33599999999999997,0.7946,4.2,0.3584,0.2702,0.7405999999999999,-4.2
0.40199999999999997,0.325,0.8150000000000001,-3.4,0.38920000000000005,0.3048,0.7736000000000001,3.4
0.4154,0.32060000000000005,0.773,-2.0,0.3966,0.2982,0.7331999999999999,2.0
0.4246,0.323,0.8064,-5.6,0.41480000000000006,0.30439999999999995,0.7444,5.6
0.4282,0.2894,0.76,-2.6,0.41500000000000004,0.29779999999999995,0.7615999999999999,2.6
0.4394,0.3064,0.7682,-3.4,0.4348000000000001,0.29059999999999997,0.7872,3.4
0.4386,0.3068000000000001,0.7737999999999999,3.6,0.4162,0.2842,0.7121999999999999,-3.6
0.42699999999999994,0.2974,0.7817999999999999,0.8,0.4206,0.3092,0.757,-0.8
0.4382,0.2948,0.7202,6.2,0.39039999999999997,0.28480000000000005,0.758,-6.2
0.4178,0.3218,0.7478,3.8,0.40920000000000006,0.2914,0.6921999999999999,-3.8
0.4272,0.3064,0.7564,8.0,0.40140000000000003,0.29860000000000003,0.6729999999999999,-8.0
0.41839999999999994,0.3102,0.7325999999999999,2.2,0.41080000000000005,0.3066,0.7184,-2.2
0.4255999999999999,0.3196,0.7542,2.48,0.4196,0.2846,0.675,-3.2
0.409,0.3222,0.7595999999999999,-3.5200000000000005,0.4574,0.3274,0.6654,2.8
0.42919999999999997,0.3226,0.73,0.4800000000000001,0.4332,0.30179999999999996,0.6862,-1.2
0.421,0.3338,0.7088,-4.720000000000001,0.45,0.31120000000000003,0.6990000000000001,4.0
0.42400000000000004,0.3176,0.6998,-4.12,0.434,0.2778,0.7092,3.4
0.44960000000000006,0.33340000000000003,0.6838,-5.2,0.458,0.31880000000000003,0.7577999999999999,5.2
0.46240000000000003,0.3318,0.7282,-3.6,0.458,0.2848,0.7388,3.6
0.46299999999999997,0.3516,0.7198,-11.2,0.476,0.3194,0.7802,11.2
0.4426,0.3322,0.759,-11.0,0.4572,0.3116,0.7582,11.0
0.4486,0.32220000000000004,0.7518,-13.8,0.4668,0.33799999999999997,0.7582,13.8
0.40540000000000004,0.2986,0.7714,-13.6,0.4354,0.30720000000000003,0.7445999999999999,13.6
0.3986,0.3136,0.6714,-16.0,0.4248,0.32720000000000005,0.7554000000000001,16.0
0.38059999999999994,0.308,0.7121999999999999,-12.0,0.42519999999999997,0.30879999999999996,0.7278,12.0
0.3984,0.33199999999999996,0.6832,-8.4,0.4304,0.31120000000000003,0.726,8.4
0.39259999999999995,0.33819999999999995,0.7256,-6.2,0.4338,0.3062,0.725,6.2
0.40360000000000007,0.3388,0.7294,-5.92,0.43479999999999996,0.3388,0.7222,7.6
0.4,0.30619999999999997,0.8246,-7.5200000000000005,0.4514,0.376,0.7247999999999999,9.2
0.40520000000000006,0.325,0.8118000000000001,-7.32,0.4484,0.3788,0.7333999999999999,9.0
0.39740000000000003,0.32599999999999996,0.8392,-8.32,0.43920000000000003,0.362,0.8,10.0
0.4182,0.35079999999999995,0.8202,3.0799999999999996,0.42140000000000005,0.35440000000000005,0.7954,-1.4
0.42400000000000004,0.35059999999999997,0.8128,-0.40000000000000036,0.4184,0.358,0.8004,0.4
0.4452,0.3866,0.7678,7.0,0.39540000000000003,0.297,0.8314,-7.0
0.45280000000000004,0.37479999999999997,0.7694,8.2,0.3888,0.317,0.8385999999999999,-8.2
0.45919999999999994,0.34299999999999997,0.7926,7.8,0.392,0.3482,0.8252,-7.8
0.4444,0.327,0.7934,2.0,0.4034,0.3156,0.8128,-2.0
0.4516,0.34059999999999996,0.7918,7.2,0.41319999999999996,0.2804,0.8128,-7.2
0.4568,0.34299999999999997,0.8248000000000001,6.2,0.4314,0.3056,0.8068,-6.2
0.46340000000000003,0.3522,0.8702,8.6,0.44699999999999995,0.2922,0.8294,-8.6
0.48180000000000006,0.38780000000000003,0.8558,6.2,0.48760000000000003,0.31000000000000005,0.8064,-6.2
0.49720000000000003,0.3982,0.8512000000000001,6.6,0.48839999999999995,0.3708,0.8022,-6.6
0.4946,0.3854,0.8428000000000001,1.2,0.4832000000000001,0.38980000000000004,0.8318,-1.2
0.4856,0.3724,0.8362,-0.2,0.48579999999999995,0.38980000000000004,0.7979999999999999,0.2
0.479,0.37639999999999996,0.779,-3.6,0.47639999999999993,0.41319999999999996,0.7292,3.6
0.462,0.3526,0.7576,-0.4,0.44980000000000003,0.38239999999999996,0.7434000000000001,0.4
0.43879999999999997,0.3542,0.7836000000000001,-4.4,0.457,0.36160000000000003,0.7784,4.4
0.4566,0.3942,0.8064,3.0,0.4584,0.3808,0.7488,-3.0
0.43479999999999996,0.373,0.7844,2.4,0.43879999999999997,0.4,0.7594000000000001,-2.4
0.44139999999999996,0.362,0.8193999999999999,5.8,0.43839999999999996,0.39,0.8328,-5.8
0.441,0.34819999999999995,0.7924,0.6,0.44420000000000004,0.4332,0.845,-0.6
0.4532,0.341,0.7964,4.2,0.4274,0.43100000000000005,0.8493999999999999,-4.2
0.414,0.30019999999999997,0.7736000000000001,-2.6,0.4356,0.3932,0.8455999999999999,2.6
0.4384,0.3256,0.7908000000000001,0.8,0.42699999999999994,0.40359999999999996,0.8475999999999999,-0.8
0.4412,0.31379999999999997,0.7686,-1.6,0.4114,0.3688,0.835,1.6
